video_id,title,published_at,view_count,like_count,comment_count,duration,hours,minutes,seconds,podcast,total_seconds,duration_minutes,is_short_strict
IsbQgOFDHbk,@nikhil.kamath  on Indian Business podcast,2025-04-09T13:47:52Z,288224,9409,81,PT1M3S,0,1,3,No,63,1.05,False
5G1Xaj3gIP0,Grok AI Exposed?,2025-04-05T14:37:54Z,153746,2755,66,PT1M31S,0,1,31,No,91,1.5166666666666666,False
ZCf2U9J32xI,Will AI Replace Indian Engineers?,2025-04-05T14:35:40Z,1042346,21292,482,PT1M32S,0,1,32,No,92,1.5333333333333334,False
N4gFaOp-QzM,Want To Survive The AI Revolution? Watch This Now,2025-04-05T12:59:46Z,34179,1269,8,PT2M30S,0,2,30,No,150,2.5,False
lBRFzr8BS8E,Secret to 100x scale?,2025-03-31T10:16:17Z,145452,2418,8,PT1M2S,0,1,2,No,62,1.0333333333333334,False
TRSW9E3gIPE,Is ZARA Failing?,2025-03-31T09:46:09Z,59430,1157,5,PT1M1S,0,1,1,No,61,1.0166666666666666,False
iSAqr09NMpg,ZARA is dead?,2025-03-27T15:06:27Z,56052,1944,15,PT1M37S,0,1,37,No,97,1.6166666666666667,False
VJbuBEZXcT8,Reviews can build your Brand!,2025-03-27T15:05:24Z,32180,1008,2,PT1M23S,0,1,23,No,83,1.3833333333333333,False
Vwl6ZETAf9s,How to Build a clothing brand and make 500crores in India? ft. Siddharth Dungarwal | Snitch IBP EP27,2025-03-27T14:30:08Z,345744,6441,281,PT2H22M36S,2,22,36,No,8556,142.6,False
AsEKIBskAqY,Recession fears in America again? India in Trouble? : Economic Case study,2025-03-25T15:36:07Z,1328782,28065,1260,PT20M46S,0,20,46,No,1246,20.766666666666666,False
JX916HnPgyQ,Is Dubai Real Estate Really a Goldmine or a Landmine? | Business Case study,2025-03-21T15:43:21Z,1681330,29936,1657,PT22M57S,0,22,57,No,1377,22.95,False
LAeFkUnLOZ4,Big issue of 5-star Restaurants!,2025-03-20T09:38:09Z,20523,777,8,PT1M20S,0,1,20,No,80,1.3333333333333333,False
UqAMv7h_PXo,How Jio revolution changed India?,2025-03-20T09:29:38Z,21189,740,4,PT1M10S,0,1,10,No,70,1.1666666666666667,False
jSkp8uYEx2A,99% of Restaurants FAIL – How Petpooja built a software to save them? : Business Case Study,2025-03-18T14:00:08Z,277937,4321,203,PT1H41M34S,1,41,34,No,6094,101.56666666666666,False
GwYqInPCcSk,India’s No. 1 Restaurant Billing Solution,2025-03-18T12:53:53Z,56860,2324,10,PT1M43S,0,1,43,No,103,1.7166666666666666,False
FrP3ymZ09GY,Can Modi KILL the OIL Mafia?,2025-03-18T12:15:33Z,41421,2199,30,PT1M30S,0,1,30,No,90,1.5,False
h_fdPgjp4bI,Can Modi KILL the OIL Mafia? | Geopolitical Case Study,2025-03-15T13:00:07Z,1588455,36520,1980,PT24M14S,0,24,14,No,1454,24.233333333333334,False
fKsjmUha6UE,How India Killed British Monopoly to become the godfather of Cricket? : Business case study,2025-03-14T13:30:08Z,463535,12903,800,PT24M49S,0,24,49,No,1489,24.816666666666663,False
4InU47MTJJY,"MS Dhoni, The Greatest Captain Indian Cricket Has Ever Seen!  #championsleague #championstrophy2025",2025-03-09T06:33:29Z,31023,1212,11,PT1M5S,0,1,5,No,65,1.0833333333333333,False
Tz9h7GUb9dU,Why Australia Keeps Winning? #India #australia #indiavsaustralia,2025-03-09T06:07:10Z,259678,8435,64,PT1M9S,0,1,9,No,69,1.15,False
